,icl_accuracy,icl_accuracy,tv_accuracy,tv_accuracy,icl_chrf,icl_chrf,tv_chrf,tv_chrf,icl_comet,icl_comet,tv_comet,tv_comet,num_datasets
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,sum
token_range,,,,,,,,,,,,,
0-5tokens,0.4325,0.2806,0.395,0.2592,0.3775,0.1876,0.3072,0.2028,0.8175,0.0722,0.6144,0.3835,400
10-15tokens,0.055,0.0707,0.0,0.0,0.4022,0.1277,0.2459,0.1755,0.8754,0.0373,0.5371,0.3401,400
15-20tokens,0.0375,0.0696,0.0,0.0,0.3331,0.1937,0.2487,0.18,0.8436,0.0346,0.5843,0.3642,270
5-10tokens,0.1049,0.1464,0.0,0.0,0.4507,0.1386,0.2128,0.1256,0.8751,0.0391,0.4636,0.2914,349
