,icl_metric,icl_metric,tv_metric,tv_metric,baseline_accuracy,baseline_accuracy
,mean,std,mean,std,mean,std
model,,,,,,
llama_7B,0.7582,0.0686,0.5826,0.1114,0.0033,0.0082
swallow_7B,0.8074,0.07,0.6462,0.1164,0.0,0.0
youko_8B,0.8162,0.0725,0.571,0.1723,0.0017,0.0041
